EXPOCODE	Name	ICEScode	CallSign_WMO	PlatformType	IMO_OS	Institution	EDMO	PI_Institution	PI_EDMO	PI	DOI_link
06AQ20090711	Polarstern	06AQ	DBLK	31	8013132	Alfred Wegener Institute Helmholtz Centre for Polar and Marine Research	1368	NIOZ Royal Netherlands Institute for Sea Research	630	van Heuven, S.	https://doi.org/10.3334/CDIAC/OTG.OA_VOS_POLARSTERN_2009
06AQ20090806	Polarstern	06AQ	DBLK	31	8013132	Alfred Wegener Institute Helmholtz Centre for Polar and Marine Research	1368	NIOZ Royal Netherlands Institute for Sea Research	630	van Heuven, S.	https://doi.org/10.3334/CDIAC/OTG.OA_VOS_POLARSTERN_2009
06AQ20091023	Polarstern	06AQ	DBLK	31	8013132	Alfred Wegener Institute Helmholtz Centre for Polar and Marine Research	1368	NIOZ Royal Netherlands Institute for Sea Research	630	van Heuven, S.	https://doi.org/10.3334/CDIAC/OTG.OA_VOS_POLARSTERN_2009
06AQ20091129	Polarstern	06AQ	DBLK	31	8013132	Alfred Wegener Institute Helmholtz Centre for Polar and Marine Research	1368	NIOZ Royal Netherlands Institute for Sea Research	630	van Heuven, S.	https://doi.org/10.3334/CDIAC/OTG.OA_VOS_POLARSTERN_2010
06AQ20100131	Polarstern	06AQ	DBLK	31	8013132	Alfred Wegener Institute Helmholtz Centre for Polar and Marine Research	1368	NIOZ Royal Netherlands Institute for Sea Research	630	van Heuven, S.	https://doi.org/10.3334/CDIAC/OTG.OA_VOS_POLARSTERN_2010
06AQ20100408	Polarstern	06AQ	DBLK	31	8013132	Alfred Wegener Institute Helmholtz Centre for Polar and Marine Research	1368	NIOZ Royal Netherlands Institute for Sea Research	630	van Heuven, S.	https://doi.org/10.3334/CDIAC/OTG.OA_VOS_POLARSTERN_2010
06AQ20101026	Polarstern	06AQ	DBLK	31	8013132	Alfred Wegener Institute Helmholtz Centre for Polar and Marine Research	1368	NIOZ Royal Netherlands Institute for Sea Research	630	van Heuven, S.	https://doi.org/10.3334/CDIAC/OTG.OA_VOS_POLARSTERN_2011
06AQ20110617	Polarstern	06AQ	DBLK	31	8013132	Alfred Wegener Institute Helmholtz Centre for Polar and Marine Research	1368	NIOZ Royal Netherlands Institute for Sea Research	630	van Heuven, S.	https://doi.org/10.3334/CDIAC/OTG.OA_VOS_POLARSTERN_2011
06AQ20110715	Polarstern	06AQ	DBLK	31	8013132	Alfred Wegener Institute Helmholtz Centre for Polar and Marine Research	1368	NIOZ Royal Netherlands Institute for Sea Research	630	van Heuven, S.	https://doi.org/10.3334/CDIAC/OTG.OA_VOS_POLARSTERN_2011
06AQ20110806	Polarstern	06AQ	DBLK	31	8013132	Alfred Wegener Institute Helmholtz Centre for Polar and Marine Research	1368	NIOZ Royal Netherlands Institute for Sea Research	630	van Heuven, S.	https://doi.org/10.3334/CDIAC/OTG.OA_VOS_POLARSTERN_2011
06AQ20111214	Polarstern	06AQ	DBLK	31	8013132	Alfred Wegener Institute Helmholtz Centre for Polar and Marine Research	1368	NIOZ Royal Netherlands Institute for Sea Research	630	van Heuven, S.	https://doi.org/10.3334/CDIAC/OTG.OA_VOS_POLARSTERN_2012
06AQ20120108	Polarstern	06AQ	DBLK	31	8013132	Alfred Wegener Institute Helmholtz Centre for Polar and Marine Research	1368	NIOZ Royal Netherlands Institute for Sea Research	630	van Heuven, S.	https://doi.org/10.3334/CDIAC/OTG.OA_VOS_POLARSTERN_2012
06AQ20120318	Polarstern	06AQ	DBLK	31	8013132	Alfred Wegener Institute Helmholtz Centre for Polar and Marine Research	1368	NIOZ Royal Netherlands Institute for Sea Research	630	van Heuven, S.	https://doi.org/10.3334/CDIAC/OTG.OA_VOS_POLARSTERN_2012
06AQ20120411	Polarstern	06AQ	DBLK	31	8013132	Alfred Wegener Institute Helmholtz Centre for Polar and Marine Research	1368	NIOZ Royal Netherlands Institute for Sea Research	630	van Heuven, S.	https://doi.org/10.3334/CDIAC/OTG.OA_VOS_POLARSTERN_2012
06AQ20120615	Polarstern	06AQ	DBLK	31	8013132	Alfred Wegener Institute Helmholtz Centre for Polar and Marine Research	1368	NIOZ Royal Netherlands Institute for Sea Research	630	van Heuven, S.	https://doi.org/10.3334/CDIAC/OTG.OA_VOS_POLARSTERN_2012
06AQ20120716	Polarstern	06AQ	DBLK	31	8013132	Alfred Wegener Institute Helmholtz Centre for Polar and Marine Research	1368	NIOZ Royal Netherlands Institute for Sea Research	630	van Heuven, S.	https://doi.org/10.3334/CDIAC/OTG.OA_VOS_POLARSTERN_2012
06AQ20120803	Polarstern	06AQ	DBLK	31	8013132	Alfred Wegener Institute Helmholtz Centre for Polar and Marine Research	1368	NIOZ Royal Netherlands Institute for Sea Research	630	van Heuven, S.	https://doi.org/10.3334/CDIAC/OTG.OA_VOS_POLARSTERN_2013
06AQ20131110	Polarstern	06AQ	DBLK	31	8013132	Alfred Wegener Institute Helmholtz Centre for Polar and Marine Research	1368	NIOZ Royal Netherlands Institute for Sea Research	630	van Heuven, S.	https://doi.org/10.3334/CDIAC/OTG.OA_VOS_POLARSTERN_2013
06AQ20131221	Polarstern	06AQ	DBLK	31	8013132	Alfred Wegener Institute Helmholtz Centre for Polar and Marine Research	1368	NIOZ Royal Netherlands Institute for Sea Research	630	van Heuven, S.; Hoppema, M.; Jones, E.	https://doi.org/10.3334/CDIAC/OTG.OA_VOS_POLARSTERN_2014
06AQ20140309	Polarstern	06AQ	DBLK	31	8013132	Alfred Wegener Institute Helmholtz Centre for Polar and Marine Research	1368	NIOZ Royal Netherlands Institute for Sea Research	630	van Heuven, S.; Hoppema, M.	https://doi.org/10.3334/CDIAC/OTG.OA_VOS_POLARSTERN_2014
06AQ20140608	Polarstern	06AQ	DBLK	31	8013132	Alfred Wegener Institute Helmholtz Centre for Polar and Marine Research	1368	NIOZ Royal Netherlands Institute for Sea Research	630	van Heuven, S.; Hoppema, M.	https://doi.org/10.3334/CDIAC/OTG.OA_VOS_POLARSTERN_2014
06AQ20140707	Polarstern	06AQ	DBLK	31	8013132	Alfred Wegener Institute Helmholtz Centre for Polar and Marine Research	1368	NIOZ Royal Netherlands Institute for Sea Research	630	van Heuven, S.; Hoppema, M.	https://doi.org/10.3334/CDIAC/OTG.OA_VOS_POLARSTERN_2014
06AQ20140805	Polarstern	06AQ	DBLK	31	8013132	Alfred Wegener Institute Helmholtz Centre for Polar and Marine Research	1368	NIOZ Royal Netherlands Institute for Sea Research	630	van Heuven, S.; Hoppema, M.	https://doi.org/10.3334/CDIAC/OTG.OA_VOS_POLARSTERN_2014
06AQ20141026	Polarstern	06AQ	DBLK	31	8013132	Alfred Wegener Institute Helmholtz Centre for Polar and Marine Research	1368	NIOZ Royal Netherlands Institute for Sea Research	630	van Heuven, S.; Hoppema, M.	https://doi.org/10.3334/CDIAC/OTG.OA_VOS_POLARSTERN_2014
06AQ20141203	Polarstern	06AQ	DBLK	31	8013132	Alfred Wegener Institute Helmholtz Centre for Polar and Marine Research	1368	NIOZ Royal Netherlands Institute for Sea Research	630	van Heuven, S.; Hoppema, M.	
06AQ20150204	Polarstern	06AQ	DBLK	31	8013132	Alfred Wegener Institute Helmholtz Centre for Polar and Marine Research	1368	NIOZ Royal Netherlands Institute for Sea Research	630	van Heuven, S.; Hoppema, M.	https://doi.org/10.3334/CDIAC/OTG.OA_VOS_POLARSTERN_2015
06AQ20150519	Polarstern	06AQ	DBLK	31	8013132	Alfred Wegener Institute Helmholtz Centre for Polar and Marine Research	1368	NIOZ Royal Netherlands Institute for Sea Research	630	van Heuven, S.; Hoppema, M.	https://doi.org/10.3334/CDIAC/OTG.OA_VOS_POLARSTERN_2015
06AQ20150629	Polarstern	06AQ	DBLK	31	8013132	Alfred Wegener Institute Helmholtz Centre for Polar and Marine Research	1368	NIOZ Royal Netherlands Institute for Sea Research	630	van Heuven, S.; Hoppema, M.	https://doi.org/10.3334/CDIAC/OTG.OA_VOS_POLARSTERN_2015
06AQ20150818	Polarstern	06AQ	DBLK	31	8013132	Alfred Wegener Institute Helmholtz Centre for Polar and Marine Research	1368	NIOZ Royal Netherlands Institute for Sea Research	630	van Heuven, S.; Hoppema, M.	https://doi.org/10.3334/CDIAC/OTG.OA_VOS_POLARSTERN_2015
06AQ20151030	Polarstern	06AQ	DBLK	31	8013132	Alfred Wegener Institute Helmholtz Centre for Polar and Marine Research	1368	NIOZ Royal Netherlands Institute for Sea Research	630	van Heuven, S.; Hoppema, M.	
06AQ20151207	Polarstern	06AQ	DBLK	31	8013132	Alfred Wegener Institute Helmholtz Centre for Polar and Marine Research	1368	NIOZ Royal Netherlands Institute for Sea Research	630	van Heuven, S.; Hoppema, M.	
06AQ20160220	Polarstern	06AQ	DBLK	31	8013132	Alfred Wegener Institute Helmholtz Centre for Polar and Marine Research	1368	NIOZ Royal Netherlands Institute for Sea Research	630	van Heuven, S.; Hoppema, M.	
06AQ20160412	Polarstern	06AQ	DBLK	31	8013132	Alfred Wegener Institute Helmholtz Centre for Polar and Marine Research	1368	NIOZ Royal Netherlands Institute for Sea Research	630	van Heuven, S.; Hoppema, M.	
06AQ20160614	Polarstern	06AQ	DBLK	31	8013132	Alfred Wegener Institute Helmholtz Centre for Polar and Marine Research	1368	NIOZ Royal Netherlands Institute for Sea Research	630	van Heuven, S.; Hoppema, M.	
06AQ20160720	Polarstern	06AQ	DBLK	31	8013132	Alfred Wegener Institute Helmholtz Centre for Polar and Marine Research	1368	NIOZ Royal Netherlands Institute for Sea Research	630	van Heuven, S.; Hoppema, M.	https://doi.org/10.7289/V5ZG6QJR
06AQ20170205	Polarstern	06AQ	DBLK	31	8013132	Alfred Wegener Institute Helmholtz Centre for Polar and Marine Research	1368	University of Groningen	1596	van Heuven, S.; Hoppema, M.	https://doi.org/10.7289/V5ZG6QJR
06AQ20170321	Polarstern	06AQ	DBLK	31	8013132	Alfred Wegener Institute Helmholtz Centre for Polar and Marine Research	1368	University of Groningen	1596	van Heuven, S.; Hoppema, M.	https://doi.org/10.7289/V5ZG6QJR
06AQ20170524	Polarstern	06AQ	DBLK	31	8013132	Alfred Wegener Institute Helmholtz Centre for Polar and Marine Research	1368	University of Groningen	1596	van Heuven, S.; Hoppema, M.	https://doi.org/10.7289/V5ZG6QJR
